title,author,rating,slick_sheet,retrieved_date
Mama and Mommy and Me in the Middle,Nina LaCour,1,...,06/02/2023
Man O' War,Cory McCarthy,4,here ,06/02/2023
The Many Colors of Harpreet Singh,Supriya Kelkar,0,...,06/02/2023
Marriage of a Thousand Lies,SJ Sindu,2,...,06/02/2023
Marvin Redpost: Is He A Girl?,Louis Sachar,1,...,06/02/2023
Maus 1: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,2,...,06/02/2023
Maus 2: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman,2,...,06/02/2023
Max and the Dumb Flower Picture,Martha Alexander,0,...,06/02/2023
Max and the Talent Show,Kyle Lukoff,1,...,06/02/2023
Max on the Farm,Kyle Lukoff,1,...,06/02/2023
Maybe Not,Colleen Hoover,4,here,06/02/2023
Maybe Now,Colleen Hoover,4,,06/02/2023
Maybe Someday,Colleen Hoover,4,,06/02/2023
Me and Earl and the Dying Girl,Jesse Andrews,3,...,06/02/2023
The Me I Choose to Be,Natasha Anastasia Tarpley,0,...,06/02/2023
Meet Cute,Various,2,...,06/02/2023
Melissa, Alex Gino,2,...,06/02/2023
Meg & Linus, Hanna Nowinski,2,...,06/02/2023
Mermicorn Island: Wish Upon a Shark, Jason June,0,...,06/02/2023
Middle School's a Drag, Greg Howard,2,...,06/02/2023
The Midnight Lie,Marie Rutkoski,3,...,06/02/2023
Milk and Honey,Rupi Kaur,4,...,06/02/2023
Milo Imagines the World,Matt de la Pena,1,...,06/02/2023
Miosotis Flores Never Forgets,Hilda Eunice Burgos,1,...,06/02/2023
Monday's Not Coming,Tiffany D. Jackson,3,...,06/02/2023
The Moon Within,Aida Salazar,1,...,06/02/2023
More Happy Than Not,Adam Silvera,3,...,06/02/2023
My Body is Growing: A Guide for 4 to 8 Year Olds ,Dagmar Geisler,3,...,06/02/2023
My Friend Dahmer,Derf Backderf,2,...,06/02/2023
My Jim,Nancy Rawles,2,...,06/02/2023
My Maddy,Gayle E. Pitman,1,...,06/02/2023
My People,Langston Hughes,0,...,06/02/2023
